Shopping,Community,Food,Entertainment,Travel,Outdoors,Nightlife
0.1907514450867052,0.15306122448979592,0.2132701421800948,0.054945054945054944,0.15897435897435896,0.3853503184713376,0.015625
0.21098265895953758,0.22789115646258504,0.2843601895734597,0.01098901098901099,0.07179487179487179,0.43312101910828027,0.03125
0.1676300578034682,0.2687074829931973,0.2938388625592417,0.04395604395604396,0.05128205128205128,0.37579617834394907,0.0
0.17341040462427745,0.24829931972789115,0.2890995260663507,0.0,0.05128205128205128,0.3535031847133758,0.015625
0.26409495548961426,0.29571984435797666,0.1799163179916318,0.04285714285714286,0.03825136612021858,0.3492063492063492,0.0196078431372549
0.33827893175074186,0.22178988326848248,0.14644351464435146,0.014285714285714285,0.09289617486338798,0.3306878306878307,0.0
0.42136498516320475,0.16342412451361868,0.100418410041841,0.04285714285714286,0.1092896174863388,0.3994708994708995,0.0
0.4629080118694362,0.14007782101167315,0.12552301255230125,0.02857142857142857,0.07650273224043716,0.41798941798941797,0.0196078431372549
0.2996941896024465,0.21035598705501618,0.2132701421800948,0.05063291139240506,0.046153846153846156,0.2811594202898551,0.10204081632653061
0.30275229357798167,0.15210355987055016,0.1990521327014218,0.0379746835443038,0.05128205128205128,0.34492753623188405,0.10204081632653061
0.3119266055045872,0.18770226537216828,0.20853080568720378,0.0379746835443038,0.05641025641025641,0.34782608695652173,0.0
0.39755351681957185,0.16181229773462782,0.1990521327014218,0.05063291139240506,0.06666666666666667,0.3217391304347826,0.02040816326530612
0.39385474860335196,0.12457912457912458,0.13551401869158877,0.0,0.05925925925925926,0.36046511627906974,0.057971014492753624
0.21508379888268156,0.2222222222222222,0.2570093457943925,0.031578947368421054,0.05185185185185185,0.35755813953488375,0.07246376811594203
0.2541899441340782,0.2356902356902357,0.17757009345794392,0.0,0.11851851851851852,0.34011627906976744,0.028985507246376812
0.26536312849162014,0.11784511784511785,0.2336448598130841,0.042105263157894736,0.06666666666666667,0.36046511627906974,0.0
0.5183946488294314,0.19655172413793104,0.21052631578947367,0.03488372093023256,0.09467455621301775,0.1882640586797066,0.0
0.4080267558528428,0.07241379310344828,0.1291866028708134,0.023255813953488372,0.08875739644970414,0.39364303178484106,0.0
0.31438127090301005,0.17586206896551723,0.24880382775119617,0.08139534883720931,0.03550295857988166,0.30073349633251834,0.08
0.33444816053511706,0.23103448275862068,0.22009569377990432,0.023255813953488372,0.09467455621301775,0.39119804400978,0.02
