Shopping,Community,Food,Entertainment,Travel,Outdoors,Nightlife,accuracy,macro avg,weighted avg
0.2490842490842491,0.2677165354330709,0.13157894736842102,0.06666666666666667,0.12987012987012986,0.15135135135135136,0.10526315789473685,0.2,0.1573615768098037,0.19328556001049688
0.2621722846441948,0.2987551867219917,0.12799999999999997,0.11428571428571428,0.10638297872340427,0.24752475247524752,0.15384615384615383,0.22828282828282828,0.1872810100995295,0.22280384792884014
0.2888888888888889,0.228310502283105,0.112,0.0,0.03773584905660378,0.22727272727272727,0.1111111111111111,0.2,0.143617011230348,0.19636700673725038
0.3344947735191638,0.336996336996337,0.14999999999999997,0.06896551724137932,0.025974025974025972,0.13114754098360656,0.09523809523809525,0.2383838383838384,0.1632594699932297,0.22022169238466419
0.2684563758389262,0.30278884462151395,0.10526315789473684,0.0,0.12195121951219513,0.2127659574468085,0.41379310344827586,0.23232323232323232,0.20357409410892235,0.2207506930367778
0.24827586206896546,0.25641025641025644,0.14876033057851237,0.06896551724137931,0.08219178082191782,0.1942857142857143,0.06896551724137931,0.20606060606060606,0.15255071123544645,0.19078505802894366
0.25196850393700787,0.23703703703703705,0.10884353741496598,0.0,0.06896551724137931,0.23595505617977527,0.07692307692307691,0.19595959595959597,0.13995610410474893,0.185639178328062
0.2867132867132867,0.2618181818181818,0.04545454545454545,0.0,0.049999999999999996,0.20388349514563106,0.0,0.20606060606060606,0.12112421559023501,0.17863336330238358
0.20080321285140565,0.2765957446808511,0.1414141414141414,0.0,0.027027027027027025,0.12389380530973451,0.0,0.17373737373737375,0.10996199018330852,0.15422595180541052
0.1923076923076923,0.24908424908424906,0.17142857142857146,0.0,0.028571428571428574,0.21333333333333332,0.0,0.18787878787878787,0.12210361067503925,0.16758589558589557
0.2214022140221402,0.272,0.09090909090909091,0.0606060606060606,0.0,0.1957446808510638,0.07142857142857142,0.1898989898989899,0.13029865968813242,0.17051625589818828
0.2178988326848249,0.2947368421052632,0.1414141414141414,0.0,0.07228915662650602,0.1913875598086124,0.0,0.20202020202020202,0.13110379037704972,0.1807890007152591
0.2641509433962264,0.3175965665236052,0.15384615384615385,0.0,0.07142857142857144,0.227979274611399,0.0,0.22764227642276422,0.147857358543708,0.20140100895994534
0.2891566265060241,0.3161764705882353,0.058823529411764705,0.06896551724137931,0.15053763440860216,0.2559241706161137,0.07142857142857142,0.23983739837398374,0.17300178860009868,0.21430786126943338
0.23283582089552238,0.2060085836909871,0.04395604395604396,0.0,0.1075268817204301,0.18994413407821226,0.07692307692307691,0.17886178861788618,0.12245636303775324,0.15506344776833694
0.27906976744186046,0.26605504587155965,0.0404040404040404,0.0,0.0,0.25641025641025644,0.06896551724137931,0.21138211382113822,0.13012923248129946,0.1768737085725201
0.2027972027972028,0.2833333333333333,0.13114754098360656,0.0,0.07407407407407408,0.2458100558659218,0.0,0.19715447154471544,0.13388031529344838,0.1912624351529888
0.2379182156133829,0.2921348314606742,0.05882352941176471,0.0,0.04651162790697675,0.27184466019417475,0.0,0.21138211382113822,0.1296046949409962,0.1948012070647822
0.28888888888888886,0.35555555555555557,0.07920792079207921,0.0,0.05714285714285715,0.23076923076923078,0.07407407407407407,0.25,0.15509121817466934,0.22319448568341752
0.2534246575342466,0.31782945736434104,0.11023622047244094,0.0,0.06521739130434782,0.22485207100591714,0.0,0.21747967479674796,0.13879425681161336,0.20541342655924394
