0_fscore,1_fscore,2_fscore,3_fscore,4_fscore,5_fscore,6_fscore,accuracy,macro_avg_fscore,weighted_avg_fscore
0.0,0.44742443593018305,0.4557346414389162,0.0,0.0,0.0,0.0,0.33966960850871236,0.12902272533844275,0.22610290280601525
0.0,0.4453108078839073,0.4540090246442207,0.0,0.0,0.0,0.0,0.33831183525684544,0.12847426178973256,0.22514990343617836
0.0,0.42953020134228187,0.45334507042253525,0.0,0.0,0.0,0.0,0.33446481104322245,0.1261250388235453,0.22132674288477638
0.0,0.4366552119129438,0.4532883642495784,0.0,0.0,0.0,0.0,0.3359357320660783,0.12713479659464605,0.22295687743749318
0.0,0.4539233576642336,0.44668784029038117,0.0,0.0,0.0,0.0,0.33536999321113375,0.12865874256494497,0.22210368139441536
0.0,0.4552173913043478,0.4430232558139534,0.0,0.0,0.0,0.0,0.3340122199592668,0.1283200924454716,0.22141938101190486
0.0,0.43707949165213056,0.4471535865897464,0.0,0.0,0.0,0.0,0.33163611676849963,0.126319011177411,0.2184086284735791
0.0,0.45731575534903823,0.4430187798903535,0.0,0.0,0.0,0.0,0.3345779588142114,0.1286192193199131,0.22189398695416682
0.0,0.4563086548488009,0.44310385616276315,0.0,0.0,0.0,0.0,0.33570943652410046,0.1284875015730806,0.22427648205308207
0.0027155465037338768,0.45880452342487876,0.43768850283508265,0.0,0.0,0.0,0.0,0.3340122199592668,0.12845836753767076,0.22389646715403635
0.0,0.4329752452125175,0.43671238987398237,0.0,0.0,0.0,0.0,0.3264313193030097,0.12424109072664284,0.2170762893304313
0.0,0.44205816554809846,0.43991342977560083,0.0,0.0,0.0,0.0,0.3302783435166327,0.1259959421890999,0.22006618307040512
0.0,0.4349100041858518,0.4347101535531484,0.0,0.0,0.0,0.0,0.3241683638832315,0.12423145110557145,0.21356490950688978
0.0,0.4450137958218368,0.43627390499691543,0.0,0.0,0.0,0.0,0.32778909255487665,0.12589824297410748,0.21631483793545184
0.0,0.4346289752650177,0.43740608022193966,0.0,0.0,0.0,0.0,0.3254129893641095,0.12457643649813677,0.21419822946105377
0.0,0.4374863148675279,0.437993497445425,0.0,0.0,0.0,0.0,0.3264313193030097,0.12506854461613612,0.21501352579127891
0.0,0.45081640780565513,0.44750181028240404,0.0,0.0,0.0,0.0,0.3378592441728898,0.12833117401257987,0.22711406245822074
0.0,0.4404659188955996,0.4488007380073802,0.0,0.0,0.0,0.0,0.33570943652410046,0.12703809384328282,0.2250267261260763
0.0,0.45605612998522893,0.44641724793912496,0.0,0.0,0.0,0.0,0.33887757411179,0.1289247682749077,0.22805535762705104
0.0,0.4535119772634998,0.44858029109997616,0.0,0.0,0.0,0.0,0.3391038696537678,0.12887032405192514,0.22804046976797349
