Other,Leisure,Tourism,Amenity,Shop
0.0,0.07407407407407407,0.14545454545454545,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.5833333333333334,0.06779661016949153,0.0,0.0,0.03571428571428571
0.0,0.11363636363636363,0.25,0.11538461538461539,0.0
0.75,,0.0,0.125,0.0
